ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 14:54:47 242m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.354904
1 2E-8 1.0151669
2 4E-8 2.1395349
3 6E-8 1.0070779
4 8E-8 -3.1021234
5 1E-7 -3.644085
6 1.2E-7 -2.7178969
7 1.4E-7 -3.7654197
8 1.6E-7 -2.7906977
9 1.8E-7 -3.7694642
10 2E-7 -0.11324571
11 2.2E-7 -2.1597574
12 2.4E-7 0.71991913
13 2.6E-7 -0.51365016
14 2.8E-7 0.5743175
15 3E-7 -0.21840243
16 3.2E-7 0.020222447
17 3.4E-7 0.093023258
18 3.6E-7 0.45702731
19 3.8E-7 1.2497472
20 4E-7 0.24266937
21 4.2E-7 0.59858444
22 4.4E-7 -0.11729019
23 4.6E-7 0.32355916
24 4.8E-7 -0.3437816
25 5E-7 -0.0768453
26 5.2E-7 0.14155713
27 5.4E-7 0.0768453
28 5.6E-7 -0.10920122
29 5.8E-7 -0.33164814
30 6E-7 -0.3842265
31 6.2E-7 -0.38018201
32 6.4E-7 -0.58645097
33 6.6E-7 -0.53387261
34 6.8E-7 -0.76036402
35 7E-7 -0.59453995
36 7.2E-7 -0.69969668
37 7.4E-7 -0.66329627
38 7.6E-7 -0.61880689
39 7.8E-7 -0.6916077
40 8E-7 -0.59453995
41 8.2E-7 -0.70374117
42 8.4E-7 -0.59049546
43 8.6E-7 -0.6511628
44 8.8E-7 -0.55409506
45 9E-7 -0.56622853
46 9.2E-7 -0.43680486
47 9.4E-7 -0.42871588
48 9.6E-7 -0.29929222
49 9.8E-7 -0.25480284
50 1E-6 -0.16177958
51 1.02E-6 -0.097067747
52 1.04E-6 -0.044489384
53 1.06E-6 0.012133468
54 1.08E-6 0.052578363
55 1.1E-6 0.13751264
56 1.12E-6 0.16582407
57 1.14E-6 0.21435794
58 1.16E-6 0.26289182
59 1.18E-6 0.30333671
60 1.2E-6 0.31951467
61 1.22E-6 0.34782609
62 1.24E-6 0.33973712
63 1.26E-6 0.3437816
64 1.28E-6 0.33569263
65 1.3E-6 0.33164814
66 1.32E-6 0.31951467
67 1.34E-6 0.29929222
68 1.36E-6 0.27502528
69 1.38E-6 0.25884733
70 1.4E-6 0.23862488
71 1.42E-6 0.17391305
72 1.44E-6 0.17795754
73 1.46E-6 0.16582407
74 1.48E-6 0.21840243
75 1.5E-6 0.13751264
76 1.52E-6 0.10111224
77 1.54E-6 0.080889789
78 1.56E-6 0.088978768
79 1.58E-6 0.052578363
80 1.6E-6 0.064711832
81 1.62E-6 0.080889789
82 1.64E-6 0.052578363
83 1.66E-6 0.056622853
84 1.68E-6 0.040444895
85 1.7E-6 0.044489384
86 1.72E-6 0.040444895
87 1.74E-6 0.052578363
88 1.76E-6 0.048533874
89 1.78E-6 0.07280081
90 1.8E-6 0.097067747
91 1.82E-6 0.11324571
92 1.84E-6 0.12942366
93 1.86E-6 0.14560162
94 1.88E-6 0.16177958
95 1.9E-6 0.17795754
96 1.92E-6 0.18200203
97 1.94E-6 0.21031345
98 1.96E-6 0.21435794
99 1.98E-6 0.25075835
100 2E-6 0.2669363
101 2.02E-6 0.27906977
