ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 14:12:29 315m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.4258612
1 2E-8 1.6375437
2 4E-8 2.2865701
3 6E-8 2.6380429
4 8E-8 -1.3999002
5 1E-7 -2.9176236
6 1.2E-7 -3.5167249
7 1.4E-7 0
8 1.6E-7 -2.3744383
9 1.8E-7 0.45332002
10 2E-7 -1.4338492
11 2.2E-7 0.25761358
12 2.4E-7 -0.71892162
13 2.6E-7 0.28756865
14 2.8E-7 -0.047928108
15 3E-7 0.14578133
16 3.2E-7 0.041937094
17 3.4E-7 -0.065901148
18 3.6E-7 0.10184723
19 3.8E-7 0.077883175
20 4E-7 0.46929606
21 4.2E-7 0.12581128
22 4.4E-7 0.21367948
23 4.6E-7 0.003994009
24 4.8E-7 0.063904144
25 5E-7 -0.021967049
26 5.2E-7 -0.045931103
27 5.4E-7 0.14777833
28 5.6E-7 -0.0099850225
29 5.8E-7 0.027958063
30 6E-7 -0.11382926
31 6.2E-7 -0.075886171
32 6.4E-7 -0.10384423
33 6.6E-7 -0.15177234
34 6.8E-7 -0.13579631
35 7E-7 -0.20968547
36 7.2E-7 -0.17373939
37 7.4E-7 -0.19570644
38 7.6E-7 -0.20169745
39 7.8E-7 -0.17373939
40 8E-7 -0.21567649
41 8.2E-7 -0.17174239
42 8.4E-7 -0.20768847
43 8.6E-7 -0.17174239
44 8.8E-7 -0.18172741
45 9E-7 -0.16375437
46 9.2E-7 -0.15776336
47 9.4E-7 -0.12581128
48 9.6E-7 -0.11382926
49 9.8E-7 -0.07988018
50 1E-6 -0.059910135
51 1.02E-6 -0.033949076
52 1.04E-6 -0.011982027
53 1.06E-6 0.0099850225
54 1.08E-6 0.035946081
55 1.1E-6 0.047928108
56 1.12E-6 0.067898153
57 1.14E-6 0.073889166
58 1.16E-6 0.093859211
59 1.18E-6 0.10584124
60 1.2E-6 0.11982027
61 1.22E-6 0.12780829
62 1.24E-6 0.12381428
63 1.26E-6 0.13579631
64 1.28E-6 0.13579631
65 1.3E-6 0.1318023
66 1.32E-6 0.1337993
67 1.34E-6 0.12581128
68 1.36E-6 0.11982027
69 1.38E-6 0.10783824
70 1.4E-6 0.10384423
71 1.42E-6 0.095856216
72 1.44E-6 0.083874189
73 1.46E-6 0.073889166
74 1.48E-6 0.083874189
75 1.5E-6 0.089865202
76 1.52E-6 0.063904144
77 1.54E-6 0.051922117
78 1.56E-6 0.047928108
79 1.58E-6 0.049925112
80 1.6E-6 0.041937094
81 1.62E-6 0.035946081
82 1.64E-6 0.043934099
83 1.66E-6 0.037943085
84 1.68E-6 0.03994009
85 1.7E-6 0.027958063
86 1.72E-6 0.035946081
87 1.74E-6 0.041937094
88 1.76E-6 0.037943085
89 1.78E-6 0.037943085
90 1.8E-6 0.035946081
91 1.82E-6 0.051922117
92 1.84E-6 0.045931103
93 1.86E-6 0.059910135
94 1.88E-6 0.065901148
95 1.9E-6 0.067898153
96 1.92E-6 0.069895157
97 1.94E-6 0.083874189
98 1.96E-6 0.083874189
99 1.98E-6 0.087868198
100 2E-6 0.09785322
101 2.02E-6 0.095856216
