ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 14:40:16 660m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 2.0509236
1 2E-8 1.6734898
2 4E-8 2.7179231
3 6E-8 1.5896156
4 8E-8 -0.23964054
5 1E-7 -3.3349975
6 1.2E-7 -3.3070394
7 1.4E-7 -1.1542686
8 1.6E-7 -2.202696
9 1.8E-7 -0.73290065
10 2E-7 -1.4757863
11 2.2E-7 0.43334998
12 2.4E-7 -0.71892162
13 2.6E-7 0.48327509
14 2.8E-7 -0.18172741
15 3E-7 0.3095357
16 3.2E-7 -0.1337993
17 3.4E-7 0.045931103
18 3.6E-7 0.059910135
19 3.8E-7 0.25961058
20 4E-7 0.55117324
21 4.2E-7 0.055916126
22 4.4E-7 0.28756865
23 4.6E-7 -0.11382926
24 4.8E-7 0.19770345
25 5E-7 -0.17174239
26 5.2E-7 0.095856216
27 5.4E-7 0.031952072
28 5.6E-7 -0.007988018
29 5.8E-7 -0.043934099
30 6E-7 -0.15776336
31 6.2E-7 -0.085871193
32 6.4E-7 -0.1777334
33 6.6E-7 -0.18771842
34 6.8E-7 -0.22765851
35 7E-7 -0.25961058
36 7.2E-7 -0.20968547
37 7.4E-7 -0.24962556
38 7.6E-7 -0.23165252
39 7.8E-7 -0.25162257
40 8E-7 -0.23764354
41 8.2E-7 -0.24762856
42 8.4E-7 -0.23165252
43 8.6E-7 -0.23165252
44 8.8E-7 -0.23764354
45 9E-7 -0.19970045
46 9.2E-7 -0.19171243
47 9.4E-7 -0.15177234
48 9.6E-7 -0.12980529
49 9.8E-7 -0.099850225
50 1E-6 -0.071892162
51 1.02E-6 -0.033949076
52 1.04E-6 -0.0059910135
53 1.06E-6 0.019970045
54 1.08E-6 0.03994009
55 1.1E-6 0.05791313
56 1.12E-6 0.07988018
57 1.14E-6 0.087868198
58 1.16E-6 0.11582626
59 1.18E-6 0.13979031
60 1.2E-6 0.14977534
61 1.22E-6 0.15376935
62 1.24E-6 0.16375437
63 1.26E-6 0.16375437
64 1.28E-6 0.15576635
65 1.3E-6 0.14977534
66 1.32E-6 0.14578133
67 1.34E-6 0.14578133
68 1.36E-6 0.14578133
69 1.38E-6 0.1318023
70 1.4E-6 0.12181727
71 1.42E-6 0.10983525
72 1.44E-6 0.087868198
73 1.46E-6 0.093859211
74 1.48E-6 0.10983525
75 1.5E-6 0.10384423
76 1.52E-6 0.065901148
77 1.54E-6 0.071892162
78 1.56E-6 0.055916126
79 1.58E-6 0.059910135
80 1.6E-6 0.037943085
81 1.62E-6 0.05791313
82 1.64E-6 0.033949076
83 1.66E-6 0.047928108
84 1.68E-6 0.03994009
85 1.7E-6 0.043934099
86 1.72E-6 0.035946081
87 1.74E-6 0.045931103
88 1.76E-6 0.047928108
89 1.78E-6 0.047928108
90 1.8E-6 0.051922117
91 1.82E-6 0.061907139
92 1.84E-6 0.069895157
93 1.86E-6 0.073889166
94 1.88E-6 0.083874189
95 1.9E-6 0.087868198
96 1.92E-6 0.099850225
97 1.94E-6 0.11183225
98 1.96E-6 0.11782327
99 1.98E-6 0.12381428
100 2E-6 0.12581128
101 2.02E-6 0.12780829
