ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 13:22:37 427m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.89383217
1 2E-8 2.4024267
2 4E-8 0.6147624
3 6E-8 -3.6279071
4 8E-8 -3.826087
5 1E-7 -3.8988878
6 1.2E-7 -2.0505562
7 1.4E-7 -0.40849344
8 1.6E-7 -1.0070779
9 1.8E-7 -1.3993934
10 2E-7 -2.5318504
11 2.2E-7 -2.5682508
12 2.4E-7 -2.4590496
13 2.6E-7 -1.8604652
14 2.8E-7 -1.6339737
15 3E-7 -0.90596564
16 3.2E-7 0.093023258
17 3.4E-7 1.148635
18 3.6E-7 1.3953489
19 3.8E-7 0.89787666
20 4E-7 0.66734076
21 4.2E-7 0.44084935
22 4.4E-7 0.54196159
23 4.6E-7 0.23458039
24 4.8E-7 0.19413549
25 5E-7 -0.080889789
26 5.2E-7 -0.23458039
27 5.4E-7 -0.49342772
28 5.6E-7 -0.73205259
29 5.8E-7 -0.98685543
30 6E-7 -1.2457028
31 6.2E-7 -1.4277048
32 6.4E-7 -1.6622852
33 6.6E-7 -1.362993
34 6.8E-7 -1.7997978
35 7E-7 -1.6622852
36 7.2E-7 -1.8038423
37 7.4E-7 -1.6097068
38 7.6E-7 -1.7229525
39 7.8E-7 -1.6016178
40 8E-7 -1.6056623
41 8.2E-7 -1.6946411
42 8.4E-7 -1.5409505
43 8.6E-7 -1.3953489
44 8.8E-7 -1.2093024
45 9E-7 -1.0394338
46 9.2E-7 -0.8048534
47 9.4E-7 -0.64711832
48 9.6E-7 -0.43276037
49 9.8E-7 -0.19009101
50 1E-6 -0.0040444895
51 1.02E-6 0.12537917
52 1.04E-6 0.2305359
53 1.06E-6 0.36804854
54 1.08E-6 0.51365016
55 1.1E-6 0.63498485
56 1.12E-6 0.71991913
57 1.14E-6 0.80080891
58 1.16E-6 0.84934279
59 1.18E-6 0.87360973
60 1.2E-6 0.89787666
61 1.22E-6 0.91001013
62 1.24E-6 0.86956524
63 1.26E-6 0.81698687
64 1.28E-6 0.78463096
65 1.3E-6 0.76440851
66 1.32E-6 0.70778566
67 1.34E-6 0.64711832
68 1.36E-6 0.59858444
69 1.38E-6 0.5379171
70 1.4E-6 0.46916078
71 1.42E-6 0.37613752
72 1.44E-6 0.28715875
73 1.46E-6 0.2305359
74 1.48E-6 0.17391305
75 1.5E-6 0.12133468
76 1.52E-6 0.10920122
77 1.54E-6 0.093023258
78 1.56E-6 0.056622853
79 1.58E-6 0.048533874
80 1.6E-6 0.052578363
81 1.62E-6 0.048533874
82 1.64E-6 0.036400405
83 1.66E-6 0.016177958
84 1.68E-6 0.036400405
85 1.7E-6 0.044489384
86 1.72E-6 0.044489384
87 1.74E-6 0.048533874
88 1.76E-6 0.0768453
89 1.78E-6 0.12942366
90 1.8E-6 0.21031345
91 1.82E-6 0.27906977
92 1.84E-6 0.33973712
93 1.86E-6 0.36400405
94 1.88E-6 0.40040446
95 1.9E-6 0.44893833
96 1.92E-6 0.49342772
97 1.94E-6 0.52578363
98 1.96E-6 0.57027302
99 1.98E-6 0.60667342
100 2E-6 0.63902934
101 2.02E-6 0.67138525
