ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-11-16 13:17:23 833m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.8652022
1 2E-8 2.7059411
2 4E-8 1.1762356
3 6E-8 -0.27558662
4 8E-8 -0.38342486
5 1E-7 0.11782327
6 1.2E-7 0.19970045
7 1.4E-7 -0.007988018
8 1.6E-7 -0.16175736
9 1.8E-7 -0.12581128
10 2E-7 -0.10783824
11 2.2E-7 0.0019970045
12 2.4E-7 0.085871193
13 2.6E-7 0.081877184
14 2.8E-7 0.035946081
15 3E-7 -0.021967049
16 3.2E-7 -0.075886171
17 3.4E-7 -0.059910135
18 3.6E-7 0.023964054
19 3.8E-7 0.071892162
20 4E-7 0.03994009
21 4.2E-7 -0.033949076
22 4.4E-7 -0.073889166
23 4.6E-7 -0.03994009
24 4.8E-7 0.027958063
25 5E-7 0.061907139
26 5.2E-7 0.027958063
27 5.4E-7 -0.011982027
28 5.6E-7 -0.045931103
29 5.8E-7 -0.047928108
30 6E-7 -0.075886171
31 6.2E-7 -0.085871193
32 6.4E-7 0.25761358
33 6.6E-7 -0.10783824
34 6.8E-7 -0.061907139
35 7E-7 0.03994009
36 7.2E-7 0.041937094
37 7.4E-7 -0.073889166
38 7.6E-7 0.013979031
39 7.8E-7 0.083874189
40 8E-7 -0.013979031
41 8.2E-7 0.053919121
42 8.4E-7 0.049925112
43 8.6E-7 0.0019970045
44 8.8E-7 0.0059910135
45 9E-7 0.035946081
46 9.2E-7 0.027958063
47 9.4E-7 0.011982027
48 9.6E-7 0.037943085
49 9.8E-7 0.025961058
50 1E-6 0.01797304
51 1.02E-6 0.015976036
52 1.04E-6 0.01797304
53 1.06E-6 0.015976036
54 1.08E-6 0.015976036
55 1.1E-6 0.023964054
56 1.12E-6 0.019970045
57 1.14E-6 0.015976036
58 1.16E-6 0.01797304
59 1.18E-6 0.027958063
60 1.2E-6 0.021967049
61 1.22E-6 0.015976036
62 1.24E-6 0.013979031
63 1.26E-6 0.01797304
64 1.28E-6 0.021967049
65 1.3E-6 0.029955067
66 1.32E-6 0.029955067
67 1.34E-6 0.021967049
68 1.36E-6 0.01797304
69 1.38E-6 0.019970045
70 1.4E-6 0.01797304
71 1.42E-6 0.025961058
72 1.44E-6 0.027958063
73 1.46E-6 0.01797304
74 1.48E-6 0.015976036
75 1.5E-6 0.01797304
76 1.52E-6 0.023964054
77 1.54E-6 0.021967049
78 1.56E-6 0.023964054
79 1.58E-6 0.029955067
80 1.6E-6 0.025961058
81 1.62E-6 0.021967049
82 1.64E-6 0.019970045
83 1.66E-6 0.021967049
84 1.68E-6 0.01797304
85 1.7E-6 0.019970045
86 1.72E-6 0.023964054
87 1.74E-6 0.01797304
88 1.76E-6 0.015976036
89 1.78E-6 0.013979031
90 1.8E-6 0.015976036
91 1.82E-6 0.023964054
92 1.84E-6 0.027958063
93 1.86E-6 0.027958063
94 1.88E-6 0.027958063
95 1.9E-6 0.027958063
96 1.92E-6 0.023964054
97 1.94E-6 0.023964054
98 1.96E-6 0.025961058
99 1.98E-6 0.025961058
100 2E-6 0.031952072
101 2.02E-6 0.027958063
