ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 11:22:15 040m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.3699451
1 2E-8 2.8017973
2 4E-8 1.8751872
3 6E-8 1.4737893
4 8E-8 -2.220669
5 1E-7 1.1203195
6 1.2E-7 -1.7014478
7 1.4E-7 0.50723914
8 1.6E-7 -0.63105342
9 1.8E-7 -0.003994009
10 2E-7 0.035946081
11 2.2E-7 -0.34947579
12 2.4E-7 0.12980529
13 2.6E-7 -0.29755367
14 2.8E-7 0.17373939
15 3E-7 -0.1757364
16 3.2E-7 0.063904144
17 3.4E-7 -0.071892162
18 3.6E-7 -0.021967049
19 3.8E-7 0.01797304
20 4E-7 -0.029955067
21 4.2E-7 0.0019970045
22 4.4E-7 -0.027958063
23 4.6E-7 -0.013979031
24 4.8E-7 0.003994009
25 5E-7 0.013979031
26 5.2E-7 0.029955067
27 5.4E-7 0.0099850225
28 5.6E-7 0.027958063
29 5.8E-7 0.015976036
30 6E-7 0.031952072
31 6.2E-7 0.027958063
32 6.4E-7 0.0059910135
33 6.6E-7 -0.013979031
34 6.8E-7 -0.0099850225
35 7E-7 0.019970045
36 7.2E-7 0.037943085
37 7.4E-7 0.09785322
38 7.6E-7 0.083874189
39 7.8E-7 0.031952072
40 8E-7 0.051922117
41 8.2E-7 0.011982027
42 8.4E-7 0.055916126
43 8.6E-7 0.023964054
44 8.8E-7 0.035946081
45 9E-7 0.01797304
46 9.2E-7 0.025961058
47 9.4E-7 0.025961058
48 9.6E-7 0.013979031
49 9.8E-7 0.023964054
50 1E-6 0.0059910135
51 1.02E-6 0.011982027
52 1.04E-6 0.0019970045
53 1.06E-6 0
54 1.08E-6 0
55 1.1E-6 0
56 1.12E-6 -0.0019970045
57 1.14E-6 -0.0099850225
58 1.16E-6 -0.007988018
59 1.18E-6 -0.007988018
60 1.2E-6 -0.0059910135
61 1.22E-6 -0.0059910135
62 1.24E-6 -0.013979031
63 1.26E-6 -0.011982027
64 1.28E-6 -0.011982027
65 1.3E-6 -0.0099850225
66 1.32E-6 -0.019970045
67 1.34E-6 -0.01797304
68 1.36E-6 -0.021967049
69 1.38E-6 -0.027958063
70 1.4E-6 -0.019970045
71 1.42E-6 -0.021967049
72 1.44E-6 -0.023964054
73 1.46E-6 -0.01797304
74 1.48E-6 -0.015976036
75 1.5E-6 -0.023964054
76 1.52E-6 -0.027958063
77 1.54E-6 -0.025961058
78 1.56E-6 -0.023964054
79 1.58E-6 -0.019970045
80 1.6E-6 -0.021967049
81 1.62E-6 -0.021967049
82 1.64E-6 -0.021967049
83 1.66E-6 -0.015976036
84 1.68E-6 -0.019970045
85 1.7E-6 -0.015976036
86 1.72E-6 -0.015976036
87 1.74E-6 -0.015976036
88 1.76E-6 -0.007988018
89 1.78E-6 -0.003994009
90 1.8E-6 -0.007988018
91 1.82E-6 -0.0059910135
92 1.84E-6 -0.003994009
93 1.86E-6 0.0059910135
94 1.88E-6 0.0059910135
95 1.9E-6 0.007988018
96 1.92E-6 0.0059910135
97 1.94E-6 0.015976036
98 1.96E-6 0.019970045
99 1.98E-6 0.013979031
100 2E-6 0.01797304
