ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-11 13:17:13 870m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 1.349975
1 2E-8 1.1622566
2 4E-8 -0.18572142
3 6E-8 -0.60309536
4 8E-8 -0.3095357
5 1E-7 -0.29555667
6 1.2E-7 -0.043934099
7 1.4E-7 -0.099850225
8 1.6E-7 -0.065901148
9 1.8E-7 -0.023964054
10 2E-7 0.075886171
11 2.2E-7 0.027958063
12 2.4E-7 -0.033949076
13 2.6E-7 0.089865202
14 2.8E-7 -0.021967049
15 3E-7 -0.0099850225
16 3.2E-7 0.041937094
17 3.4E-7 0.0099850225
18 3.6E-7 0.037943085
19 3.8E-7 0.067898153
20 4E-7 0
21 4.2E-7 0.027958063
22 4.4E-7 0.05791313
23 4.6E-7 0.003994009
24 4.8E-7 0.029955067
25 5E-7 0.041937094
26 5.2E-7 0.011982027
27 5.4E-7 0.045931103
28 5.6E-7 0.037943085
29 5.8E-7 0
30 6E-7 0.023964054
31 6.2E-7 0.031952072
32 6.4E-7 0.021967049
33 6.6E-7 0.047928108
34 6.8E-7 0.051922117
35 7E-7 0.045931103
36 7.2E-7 0.05791313
37 7.4E-7 0.047928108
38 7.6E-7 0.033949076
39 7.8E-7 0.015976036
40 8E-7 0.053919121
41 8.2E-7 0.037943085
42 8.4E-7 0.03994009
43 8.6E-7 0.03994009
44 8.8E-7 0.019970045
45 9E-7 0.029955067
46 9.2E-7 0.031952072
47 9.4E-7 0.031952072
48 9.6E-7 0.03994009
49 9.8E-7 0.031952072
50 1E-6 0.023964054
51 1.02E-6 0.035946081
52 1.04E-6 0.025961058
53 1.06E-6 0.023964054
54 1.08E-6 0.027958063
55 1.1E-6 0.023964054
56 1.12E-6 0.023964054
57 1.14E-6 0.037943085
58 1.16E-6 0.01797304
59 1.18E-6 0.0099850225
60 1.2E-6 0.031952072
61 1.22E-6 0.03994009
62 1.24E-6 0.021967049
63 1.26E-6 0.003994009
64 1.28E-6 0.03994009
65 1.3E-6 0.013979031
66 1.32E-6 0.015976036
67 1.34E-6 0.025961058
68 1.36E-6 0.015976036
69 1.38E-6 0.01797304
70 1.4E-6 0.019970045
71 1.42E-6 0.013979031
72 1.44E-6 0.023964054
73 1.46E-6 0.025961058
74 1.48E-6 0.019970045
75 1.5E-6 0.027958063
76 1.52E-6 0.025961058
77 1.54E-6 0.011982027
78 1.56E-6 0.021967049
79 1.58E-6 0.01797304
80 1.6E-6 0.015976036
81 1.62E-6 0.021967049
82 1.64E-6 0.01797304
83 1.66E-6 0.01797304
84 1.68E-6 0.021967049
85 1.7E-6 0.023964054
86 1.72E-6 0.021967049
87 1.74E-6 0.019970045
88 1.76E-6 0.01797304
89 1.78E-6 0.027958063
90 1.8E-6 0.023964054
91 1.82E-6 0.019970045
92 1.84E-6 0.019970045
93 1.86E-6 0.01797304
94 1.88E-6 0.023964054
95 1.9E-6 0.027958063
96 1.92E-6 0.023964054
97 1.94E-6 0.027958063
98 1.96E-6 0.027958063
99 1.98E-6 0.025961058
100 2E-6 0.027958063
101 2.02E-6 0.025961058
102 2.04E-6 0.027958063
103 2.06E-6 0.027958063
