ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 10:41:37 705m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.75580221
1 2E-8 1.1412714
2 4E-8 0.96468213
3 6E-8 0.071644802
4 8E-8 -0.63673057
5 1E-7 -0.53178607
6 1.2E-7 -0.1493441
7 1.4E-7 0.14530777
8 1.6E-7 0.049445004
9 1.8E-7 -0.031281533
10 2E-7 -0.15338042
11 2.2E-7 -0.071644802
12 2.4E-7 0.0060544903
13 2.6E-7 0.055499495
14 2.8E-7 0.020181634
15 3E-7 -0.043390514
16 3.2E-7 -0.049445004
17 3.4E-7 0.013118062
18 3.6E-7 0.050454086
19 3.8E-7 0.038345105
20 4E-7 -0.0060544903
21 4.2E-7 -0.033299697
22 4.4E-7 -0.0050454086
23 4.6E-7 0.040363269
24 4.8E-7 0.044399596
25 5E-7 0.011099899
26 5.2E-7 -0.0070635721
27 5.4E-7 0
28 5.6E-7 0.025227043
29 5.8E-7 0.042381432
30 6E-7 0.033299697
31 6.2E-7 0.0060544903
32 6.4E-7 0.0010090817
33 6.6E-7 0.0080726538
34 6.8E-7 0.019172553
35 7E-7 0.049445004
36 7.2E-7 0.027245207
37 7.4E-7 0.033299697
38 7.6E-7 0.036326942
39 7.8E-7 0.038345105
40 8E-7 0.02926337
41 8.2E-7 0.030272452
42 8.4E-7 0.027245207
43 8.6E-7 0.017154389
44 8.8E-7 0.02320888
45 9E-7 0.021190716
46 9.2E-7 0.017154389
47 9.4E-7 0.017154389
48 9.6E-7 0.016145308
49 9.8E-7 0.015136226
50 1E-6 0.017154389
51 1.02E-6 0.014127144
52 1.04E-6 0.0090817355
53 1.06E-6 0.0050454086
54 1.08E-6 0.0080726538
55 1.1E-6 0.010090817
56 1.12E-6 0.0070635721
57 1.14E-6 0.0050454086
58 1.16E-6 0.0010090817
59 1.18E-6 0.0010090817
60 1.2E-6 0.0040363269
61 1.22E-6 0.0070635721
62 1.24E-6 0.0040363269
63 1.26E-6 0.0020181634
64 1.28E-6 -0.0030272452
65 1.3E-6 -0.0030272452
66 1.32E-6 -0.0020181634
67 1.34E-6 -0.0010090817
68 1.36E-6 0
69 1.38E-6 -0.0030272452
70 1.4E-6 -0.0050454086
71 1.42E-6 -0.0040363269
72 1.44E-6 -0.0040363269
73 1.46E-6 -0.0060544903
74 1.48E-6 -0.0080726538
75 1.5E-6 -0.0080726538
76 1.52E-6 -0.0050454086
77 1.54E-6 -0.0070635721
78 1.56E-6 -0.0060544903
79 1.58E-6 -0.0070635721
80 1.6E-6 -0.0080726538
81 1.62E-6 -0.010090817
82 1.64E-6 -0.0060544903
83 1.66E-6 -0.0030272452
84 1.68E-6 -0.0010090817
85 1.7E-6 -0.0030272452
86 1.72E-6 -0.0040363269
87 1.74E-6 -0.0050454086
88 1.76E-6 0.0030272452
89 1.78E-6 0
90 1.8E-6 0.0020181634
91 1.82E-6 -0.0010090817
92 1.84E-6 -0.0020181634
93 1.86E-6 -0.0010090817
94 1.88E-6 0.0050454086
95 1.9E-6 0
96 1.92E-6 0.0070635721
97 1.94E-6 0.0060544903
98 1.96E-6 0.0050454086
