ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 10:36:45 500m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.13521695
1 2E-8 1.0232089
2 4E-8 1.334006
3 6E-8 0.73562058
4 8E-8 -0.29566094
5 1E-7 -0.76690211
6 1.2E-7 -0.44500504
7 1.4E-7 -0.0010090817
8 1.6E-7 0.11402623
9 1.8E-7 -0.014127144
10 2E-7 -0.12008073
11 2.2E-7 -0.16750757
12 2.4E-7 -0.031281533
13 2.6E-7 0.036326942
14 2.8E-7 0.042381432
15 3E-7 -0.022199798
16 3.2E-7 -0.065590312
17 3.4E-7 -0.012108981
18 3.6E-7 0.05247225
19 3.8E-7 0.063572149
20 4E-7 0.014127144
21 4.2E-7 -0.022199798
22 4.4E-7 -0.028254288
23 4.6E-7 0.010090817
24 4.8E-7 0.03531786
25 5E-7 0.012108981
26 5.2E-7 -0.013118062
27 5.4E-7 -0.013118062
28 5.6E-7 0.0010090817
29 5.8E-7 0.022199798
30 6E-7 0.028254288
31 6.2E-7 0.0050454086
32 6.4E-7 -0.013118062
33 6.6E-7 -0.0090817355
34 6.8E-7 0.02320888
35 7E-7 0.028254288
36 7.2E-7 0.054490413
37 7.4E-7 0.03531786
38 7.6E-7 0.041372351
39 7.8E-7 0.046417759
40 8E-7 0.033299697
41 8.2E-7 0.033299697
42 8.4E-7 0.02926337
43 8.6E-7 0.024217961
44 8.8E-7 0.02320888
45 9E-7 0.021190716
46 9.2E-7 0.015136226
47 9.4E-7 0.012108981
48 9.6E-7 0.0080726538
49 9.8E-7 0.0090817355
50 1E-6 0.0090817355
51 1.02E-6 0.0080726538
52 1.04E-6 0.0030272452
53 1.06E-6 0.0020181634
54 1.08E-6 0
55 1.1E-6 0.0010090817
56 1.12E-6 0
57 1.14E-6 -0.0040363269
58 1.16E-6 -0.0050454086
59 1.18E-6 -0.0090817355
60 1.2E-6 -0.0060544903
61 1.22E-6 -0.0020181634
62 1.24E-6 -0.0020181634
63 1.26E-6 -0.0060544903
64 1.28E-6 -0.013118062
65 1.3E-6 -0.016145308
66 1.32E-6 -0.014127144
67 1.34E-6 -0.013118062
68 1.36E-6 -0.012108981
69 1.38E-6 -0.016145308
70 1.4E-6 -0.018163471
71 1.42E-6 -0.018163471
72 1.44E-6 -0.018163471
73 1.46E-6 -0.019172553
74 1.48E-6 -0.019172553
75 1.5E-6 -0.015136226
76 1.52E-6 -0.016145308
77 1.54E-6 -0.017154389
78 1.56E-6 -0.020181634
79 1.58E-6 -0.018163471
80 1.6E-6 -0.019172553
81 1.62E-6 -0.017154389
82 1.64E-6 -0.016145308
83 1.66E-6 -0.016145308
84 1.68E-6 -0.014127144
85 1.7E-6 -0.015136226
86 1.72E-6 -0.016145308
87 1.74E-6 -0.015136226
88 1.76E-6 -0.016145308
89 1.78E-6 -0.014127144
90 1.8E-6 -0.0080726538
91 1.82E-6 -0.011099899
92 1.84E-6 -0.010090817
93 1.86E-6 -0.0060544903
94 1.88E-6 -0.0060544903
95 1.9E-6 -0.0070635721
96 1.92E-6 -0.0030272452
97 1.94E-6 -0.0050454086
98 1.96E-6 -0.0040363269
