ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2023-09-08 13:23:22 709m





Sample number Relative time HS4D-50(28994).Ch1
  s V
0 0 0.43135297
1 2E-8 2.7458812
2 4E-8 2.669995
3 6E-8 2.2486271
4 8E-8 -1.9710434
5 1E-7 -1.5376935
6 1.2E-7 0.24962556
7 1.4E-7 -1.8152771
8 1.6E-7 0.92461308
9 1.8E-7 -1.333999
10 2E-7 0.7089366
11 2.2E-7 -0.73889166
12 2.4E-7 0.11782327
13 2.6E-7 -0.2675986
14 2.8E-7 -0.041937094
15 3E-7 0.047928108
16 3.2E-7 -0.20569146
17 3.4E-7 0.063904144
18 3.6E-7 -0.21967049
19 3.8E-7 0.035946081
20 4E-7 -0.077883175
21 4.2E-7 -0.037943085
22 4.4E-7 -0.059910135
23 4.6E-7 -0.083874189
24 4.8E-7 -0.029955067
25 5E-7 -0.01797304
26 5.2E-7 0.0099850225
27 5.4E-7 -0.015976036
28 5.6E-7 -0.003994009
29 5.8E-7 -0.0019970045
30 6E-7 -0.003994009
31 6.2E-7 0.027958063
32 6.4E-7 0.007988018
33 6.6E-7 -0.029955067
34 6.8E-7 -0.043934099
35 7E-7 -0.031952072
36 7.2E-7 0.0019970045
37 7.4E-7 0.061907139
38 7.6E-7 0.11382926
39 7.8E-7 0.045931103
40 8E-7 0.025961058
41 8.2E-7 0.025961058
42 8.4E-7 0.013979031
43 8.6E-7 0.041937094
44 8.8E-7 -0.0099850225
45 9E-7 0.015976036
46 9.2E-7 -0.023964054
47 9.4E-7 0.023964054
48 9.6E-7 -0.01797304
49 9.8E-7 -0.0019970045
50 1E-6 -0.011982027
51 1.02E-6 -0.021967049
52 1.04E-6 -0.01797304
53 1.06E-6 -0.033949076
54 1.08E-6 -0.035946081
55 1.1E-6 -0.035946081
56 1.12E-6 -0.033949076
57 1.14E-6 -0.03994009
58 1.16E-6 -0.043934099
59 1.18E-6 -0.035946081
60 1.2E-6 -0.03994009
61 1.22E-6 -0.043934099
62 1.24E-6 -0.047928108
63 1.26E-6 -0.049925112
64 1.28E-6 -0.047928108
65 1.3E-6 -0.053919121
66 1.32E-6 -0.055916126
67 1.34E-6 -0.055916126
68 1.36E-6 -0.051922117
69 1.38E-6 -0.059910135
70 1.4E-6 -0.05791313
71 1.42E-6 -0.067898153
72 1.44E-6 -0.071892162
73 1.46E-6 -0.065901148
74 1.48E-6 -0.047928108
75 1.5E-6 -0.055916126
76 1.52E-6 -0.063904144
77 1.54E-6 -0.055916126
78 1.56E-6 -0.063904144
79 1.58E-6 -0.061907139
80 1.6E-6 -0.063904144
81 1.62E-6 -0.059910135
82 1.64E-6 -0.055916126
83 1.66E-6 -0.055916126
84 1.68E-6 -0.055916126
85 1.7E-6 -0.051922117
86 1.72E-6 -0.051922117
87 1.74E-6 -0.049925112
88 1.76E-6 -0.047928108
89 1.78E-6 -0.037943085
90 1.8E-6 -0.041937094
91 1.82E-6 -0.03994009
92 1.84E-6 -0.033949076
93 1.86E-6 -0.037943085
94 1.88E-6 -0.027958063
95 1.9E-6 -0.025961058
96 1.92E-6 -0.019970045
97 1.94E-6 -0.015976036
98 1.96E-6 -0.0099850225
